,success,volkswagen,trust,bargain,innovative,rachel,weapon,outside,technical,protective,cold,names,friendship,fascination,community,winner,lustig,arts,arts,show,see
success,1.0,0.10161559544850365,0.08737559252278317,0.08728167413568502,0.05380368650539579,0.05380368650539579,0.044456833691721646,0.03647222546767704,0.026233605393330302,0.024432549334535904,0.021452375358709173,-0.1021163348321993,-0.10241501368098539,-0.10872070080890352,-0.10936436149938017,-0.11409668548791581,-0.1285135143861975,-0.1331281202014124,-0.1331281202014124,-0.14247765149781152,-0.1433336962455863
volkswagen,0.10161559544850365,1.0,0.5532813890188979,0.14128050663883993,0.2361285468433784,0.2361285468433784,0.08197410821429171,-0.16573639043666805,0.12556375638883163,-0.2970170429211317,-0.2146517458624701,-0.06283029519355568,-0.5305789167162199,-0.3964560326857795,-0.4511132714593633,-0.143569801302203,-0.5827762779685338,-0.3975381198648514,-0.3975381198648514,-0.29458273362197146,-0.5354912597351973
trust,0.08737559252278317,0.5532813890188979,1.0,0.14598850060780874,0.04850324070224683,0.04850324070224683,-0.29255220378322616,-0.5162638093026773,-0.1427800943370093,-0.5182755599616443,-0.46335473840428754,0.016105166209323243,-0.6830035058554355,-0.5400585866052865,-0.5909308186144071,-0.3077883725928793,-0.6137128569164644,-0.504081316422744,-0.504081316422744,-0.2994232409084959,-0.6495392904382045
bargain,0.08728167413568502,0.14128050663883993,0.14598850060780874,1.0,-0.1812357812357884,-0.1812357812357884,-0.10698562676052012,-0.16409301275734572,-0.24275527064753613,-0.17940586936430306,-0.3328288680167338,-0.1516954500251421,-0.1755851460872707,-0.3743821579692395,-0.3365186924849181,-0.04137448391405557,-0.29528142018933523,-0.23919865930330284,-0.23919865930330284,-0.16966936029476548,-0.29844790051226017
innovative,0.05380368650539579,0.2361285468433784,0.04850324070224683,-0.1812357812357884,1.0,1.0,0.12411271108697206,0.41088991918948575,0.8501051665714465,0.3955040398972519,0.6302564561965132,-0.39914169405175204,-0.37272705111504784,0.2710210510168506,0.1705516890091683,-0.2580040618282312,-0.15765028110629617,-0.11654232773943543,-0.11654232773943543,-0.029279202933257722,-0.07134983088122018
rachel,0.05380368650539579,0.2361285468433784,0.04850324070224683,-0.1812357812357884,1.0,1.0,0.12411271108697206,0.41088991918948575,0.8501051665714465,0.3955040398972519,0.6302564561965132,-0.39914169405175204,-0.37272705111504784,0.2710210510168506,0.1705516890091683,-0.2580040618282312,-0.15765028110629617,-0.11654232773943543,-0.11654232773943543,-0.029279202933257722,-0.07134983088122018
weapon,0.044456833691721646,0.08197410821429171,-0.29255220378322616,-0.10698562676052012,0.12411271108697206,0.12411271108697206,1.0,0.5651741228508145,0.2861556085319759,0.5056227796480144,0.4294671597522193,-0.37000055688988115,0.21361713579867503,0.017469324820618526,-0.012037681475730921,-0.020258252142599215,0.05660378284274763,-0.021934160400932327,-0.021934160400932327,-0.1406280216715032,0.10835517346619271
outside,0.03647222546767704,-0.16573639043666805,-0.5162638093026773,-0.16409301275734572,0.41088991918948575,0.41088991918948575,0.5651741228508145,1.0,0.6270856614859144,0.7966664744498789,0.7372148963171764,-0.5958853259908881,0.09143259959520127,0.21014245485954236,0.39318858007941204,-0.2308233440628184,0.03684724821127793,-0.01971382903481594,-0.01971382903481594,-0.1299431960921297,0.18412772407206396
technical,0.026233605393330302,0.12556375638883163,-0.1427800943370093,-0.24275527064753613,0.8501051665714465,0.8501051665714465,0.2861556085319759,0.6270856614859144,1.0,0.6431162753923555,0.7189834680926093,-0.493641574485563,-0.276151288724738,0.23183753250189412,0.18931218826165966,-0.348686116893602,-0.08010433748758083,-0.13030552163314155,-0.13030552163314155,-0.06480532024816445,0.008260156868778611
protective,0.024432549334535904,-0.2970170429211317,-0.5182755599616443,-0.17940586936430306,0.3955040398972519,0.3955040398972519,0.5056227796480144,0.7966664744498789,0.6431162753923555,1.0,0.7413686222237171,-0.545748315040205,0.15017405761227914,0.2241571133016877,0.3380685055747928,-0.24060799662758633,0.15776352747468195,-0.06927434029175869,-0.06927434029175869,-0.11335044206510557,0.23543002150451414
cold,0.021452375358709173,-0.2146517458624701,-0.46335473840428754,-0.3328288680167338,0.6302564561965132,0.6302564561965132,0.4294671597522193,0.7372148963171764,0.7189834680926093,0.7413686222237171,1.0,-0.4608298117434371,0.2057229432128648,0.5461623906406796,0.42306098850536905,-0.0821107966358843,0.3389812556211454,0.15237198955857173,0.15237198955857173,0.08650632774649566,0.37417729143039363
