,success,heRuler,raditional,heInnocent,ulture,heCreator,rendy,odern,odern,esign,ind,ad,ustig,collar,names,names,mpractical,collar,argain,names,rust
success,1.0,0.11368542712273944,0.1130564295480415,0.10952196289545138,0.10522108014219149,0.10333429242135819,0.10159565745625121,0.10039106721316539,0.10039106721316539,0.09899674178998111,0.09823935227879173,-0.0021336377045957384,-0.0023628105114845074,-0.006431653148443367,-0.013259243022704457,-0.013573055307117771,-0.015269395262955133,-0.017335383656427197,-0.019147798586575768,-0.02447110075938581,-0.05234856396201593
heRuler,0.11368542712273944,1.0,0.342281486646872,0.5953948106526442,0.4258649761822684,0.7322416532171311,0.2907496681982642,0.5824489661568628,0.5824489661568628,0.3795799889520354,0.5275161084466539,0.386661649298841,0.11916670893311836,0.5546042789426894,-0.14715741985859826,-0.02914261297508612,0.5041085086744492,0.1712905547502975,-0.31366737307151893,-0.10799840321850786,-0.3343165190789669
raditional,0.1130564295480415,0.342281486646872,1.0,0.6176122567698602,0.521622742141141,0.6758708309182547,0.7796342125466276,0.676172660853885,0.676172660853885,0.7386531439559811,0.5939375984002235,0.32934190754720705,0.4351729663254977,0.04940464723351156,0.032667322581599205,-0.06939360377593352,0.32722113174647083,-0.05923723668312799,-0.23208575993122557,-0.1522069568034096,-0.35236510121439757
heInnocent,0.10952196289545138,0.5953948106526442,0.6176122567698602,1.0,0.6317674981578009,0.8174105836232728,0.6718842587429602,0.7059953166791297,0.7059953166791297,0.5840101611114501,0.8822361572184017,0.724702076311999,0.6063120086834182,0.40771098182438165,-0.12191452197013385,-0.08199926081224557,0.6327461986051074,0.07623908261218604,-0.27296730527391594,-0.022321938761355093,-0.68411932687253
ulture,0.10522108014219149,0.4258649761822684,0.521622742141141,0.6317674981578009,1.0,0.7293439736197085,0.6085133770443482,0.58223977819764,0.58223977819764,0.3284920646621161,0.5105902837861693,0.16951698027245676,0.44765682829105563,0.383646801256475,-6.34611580877985e-05,0.15774552263692967,0.20200681897354916,-0.12147367595773263,-0.1937695480115359,0.2584209240497969,-0.41320268974629604
heCreator,0.10333429242135819,0.7322416532171311,0.6758708309182547,0.8174105836232728,0.7293439736197085,1.0,0.6702065581263977,0.742424320827314,0.742424320827314,0.6219391531425189,0.7202222877193171,0.48710492707226705,0.5038816923658662,0.4741831460640376,-0.014047216389940996,0.05888755229446835,0.5251191648631135,0.04884203576194193,-0.35622918498275263,0.007090119748317901,-0.4816842172893689
rendy,0.10159565745625121,0.2907496681982642,0.7796342125466276,0.6718842587429602,0.6085133770443482,0.6702065581263977,1.0,0.716706763751286,0.716706763751286,0.6709825109547756,0.6089819977322307,0.3597462892910004,0.540161907199939,0.13014449821254281,0.0034453686595707694,-0.005406190235047683,0.30579775467767234,-0.14690781562769367,-0.002999200219581473,-0.06818788679159918,-0.3890583492759203
odern,0.10039106721316539,0.5824489661568628,0.676172660853885,0.7059953166791297,0.58223977819764,0.742424320827314,0.716706763751286,1.0,1.0,0.5710180915788382,0.6931322589259548,0.4065835379092322,0.3415552599536956,0.2836213544555975,-0.2816392388903337,-0.2063543573533644,0.522055218616579,0.004116189904407727,-0.13162850116276356,-0.1756029915294724,-0.5126062219825751
odern,0.10039106721316539,0.5824489661568628,0.676172660853885,0.7059953166791297,0.58223977819764,0.742424320827314,0.716706763751286,1.0,1.0,0.5710180915788382,0.6931322589259548,0.4065835379092322,0.3415552599536956,0.2836213544555975,-0.2816392388903337,-0.2063543573533644,0.522055218616579,0.004116189904407727,-0.13162850116276356,-0.1756029915294724,-0.5126062219825751
esign,0.09899674178998111,0.3795799889520354,0.7386531439559811,0.5840101611114501,0.3284920646621161,0.6219391531425189,0.6709825109547756,0.5710180915788382,0.5710180915788382,1.0,0.6112073536445145,0.3079747757522998,0.28752694864378386,0.09856540504166192,-0.17171932191658734,-0.24022238806467594,0.2110114315698507,0.03835389065805503,-0.1740750380397127,-0.274807531839464,-0.3523398235152035
